CategoryId,ParentCategoryId,Description,Active
8,0,3D Pictures & Novelties,True
10,0,Candles & Candleholders,True
11,100027,Incence Sticks & Cones,True
20,9144,Oil Burners,True
28,86,Windmills,True
32,98,Fairies,True
33,0,Buddha & Oriental Figures,True
52,0,Money Boxes,True
79,0,Christmas,True
86,0,Garden,True
98,0,Fantasy & Fairytale,True
115,0,Animal Themes,True
200,0,Dreamcatchers,True
214,100171,Clocks,True
216,0,Chimes & Hangers,True
232,0,Skulls & Skeletons,True
350,0,Kitchenware,True
9046,98,Magical & Mythical Creatues,True
9053,115,Frog & Reptile Themed Gifts,True
9054,115,Cat Themed Gifts,True
9055,115,Dog Themed Gifts,True
9056,115,Farmyard Themed Gifts,True
9058,115,Dinosaurs Themed Gifts,True
9059,115,Sealife Themed Gifts,True
9060,115,Zoo & Wildlife Themed Gifts,True
9061,115,Bugs & Insect Themed Gifts,True
9067,9003,Back in Stock,True
9077,9102,Bouncy Balls,True
9084,0,Gothic Fantasy & New Age,True
9096,100027,Incense Burners,True
9102,0,Toys,True
9118,9102,Novelty Toys,True
9144,0,Aromatherapy,True
9145,0,Gift Bags & Boxes,True
9180,0,Stationery,True
100009,100171,Waterballs,True
100027,0,Incense,True
100044,0,Sand Animals,True
100058,0,Dragon Figurines & Statues,True
100081,79,Christmas Porcelain & Ceramics,True
100128,100171,Trinket Boxes,True
100171,0,Homewares,True
100175,0,Mugs,True
100177,0,Egyptian Figures & Statues,True
100184,9144,Fragrance Oils,True
100214,0,Jewellery & Accessories,True
100266,0,Eco Friendly Bags,True
100270,0,Motor Madness,True
100272,9102,Educational & Activity Toys,True
100294,9102,Stickers & Tattoos,True
100322,100214,Costume & Fashion Jewellery,True
100508,100214,Bracelets & Bangles,True
100530,86,Garden Ornaments & Gifts,True
100531,9144,Essential Oils,True
100532,9144,Home Fragrance,True
100534,100214,Children's Jewellery,True
100537,79,Christmas Novelty Gifts,True
100538,0,Cherubs and Angels,True
100540,100171,Decorative Lighting,True
100543,0,Reduced to Clear,True
100560,86,Glow Sticks,True
100561,0,Fashion & Beauty Accessories,True
100562,115,Wolf Themed Gifts,True
100564,0,Packing Boxes,True
100567,100214,Pendants & Necklaces,True
100573,0,Now Available Individually,True
100575,0,Souvenirs & Seaside,True
100576,100171,Home Furnishings,True
100577,98,Fairytale Characters,True
100580,0,Wedding Favours,True
100584,0,Gift Sets & Gift Packs,True
100585,0,Best Sellers,True
